pixel,latitude,longitude,velocity_detrended,cluster,hdbscan_cluster
155643,43.64186231695295,3.3234690428453195,-0.18384416048610475,-1,38
155644,43.64276056070187,3.323365469099391,-0.7838441604861046,-1,38
155645,43.64455704580116,3.3231583088299694,-1.0838441604861049,-1,-1
155646,43.6454552871516,3.323054722305988,-0.7838441604861046,-1,-1
155649,43.648150006406716,3.322743937174049,-0.08384416048610466,-1,-1
155651,43.657132351979136,3.3217077097606147,-0.5838441604861047,-1,38
155652,43.65803058214227,3.3216040635768067,-0.08384416048610466,-1,-1
155661,43.67150393876675,3.320048859094809,-0.08384416048610466,-1,-1
155662,43.67599501773202,3.319530244296981,-0.9838441604861048,-1,-1
155663,43.67868965553723,3.319219024202977,-0.08384416048610466,-1,-1
155665,43.680486076752324,3.3190115227965356,-0.9838441604861048,-1,-1
155669,43.6858753212576,3.3183889161056768,-0.18384416048610475,-1,81
155670,43.686773525884384,3.318285133377545,-0.08384416048610466,-1,-1
155673,43.69216273690485,3.317662347308627,-1.4838441604861048,-1,-1
155675,43.69665372417196,3.3171432414266078,-0.18384416048610475,-1,-1
155677,43.69934830697127,3.316831726614828,-0.08384416048610466,-1,-1
155695,43.73617355392141,3.3125704991841243,-0.18384416048610475,-1,2
155696,43.73707171397555,3.3124664769025602,-0.18384416048610475,-1,2
155704,43.7442569658069,3.3116341443800628,-0.5838441604861047,-1,2
155707,43.74695142213767,3.31132194896089,-1.7838441604861046,-1,-1
155708,43.747849572659696,3.3112178752466925,-0.9838441604861048,-1,2
156066,43.63296002491518,3.3257369544230295,-0.7838441604861046,-1,-1
156076,43.64553549672672,3.3242873945869014,-1.0838441604861049,-1,-1
156077,43.64643373871669,3.3241838226634357,-0.3838441604861047,-1,38
156081,43.6545178806639,3.323251483653811,-0.4838441604861048,-1,38
156082,43.656314347863415,3.3230442503369235,-0.5838441604861047,-1,38
156091,43.67068597046783,3.3213857699119727,-0.2838441604861046,-1,-1
156092,43.676973491105265,3.3206598413814286,-0.08384416048610466,-1,-1
156095,43.679668130840724,3.32034866514516,-1.1838441604861045,-1,95
156096,43.68056634249073,3.3202449311967674,-1.8838441604861047,-1,-1
156097,43.68146455334321,3.320141192979814,-0.6838441604861047,-1,-1
156098,43.682362763398245,3.3200374504940613,-1.9838441604861048,-1,-1
156099,43.68415918111613,3.319829952715173,-0.4838441604861048,-1,-1
156102,43.687752006984525,3.3194149059210627,-0.18384416048610475,-1,-1
156105,43.7102068798233,3.3168193147804073,-0.18384416048610475,-1,4
156106,43.72098504203989,3.315572481861251,-0.3838441604861047,-1,4
156107,43.72188321705346,3.3154685513068216,-0.2838441604861046,-1,4
156125,43.73894839125111,3.3134930573355432,-0.3838441604861047,-1,2
